AddressID,CustomerID,AddressLine1,City,State,PinCode,AddressType
WB-10188,CUST-12916,"H.No._34,_Kuruvilla_Path,_Kulti-325606",Kulti,West_Bengal,325606.0,Shipping
TS-10189,CUST-02779,"64
Cheema_Zila
Ramagundam-509309",Ramagundam,Telangana,509309.0,Shipping
MH-10190,CUST-10505,"H.No._957,_Biswas_Circle
Nanded_212224",Nanded,Maharashtra,212224.0,Shipping
MH-10191,CUST-15886,"84
Bhatnagar_Road
Nanded_846533",Nanded,Maharashtra,846533.0,Billing
UP-10192,CUST-18358,"33/43,_Shere_Road
Shahjahanpur-780247",Shahjahanpur,Uttar_Pradesh,780247.0,"Billing,_Shipping"
TR-10193,CUST-09965,"449
Iyer_Ganj
Durgapur_265507",Durgapur,West_Bengal,265507.0,"Billing,_Shipping"
MH-10194,CUST-19511,"H.No._594
Tak_Zila
Guntur-091712",Guntur,Andhra_Pradesh,91712.0,Billing
TS-10195,CUST-09325,"H.No._394
Jayaraman_Road
Srinagar-830749",Srinagar,Jammu_and_Kashmir,830749.0,Shipping
MP-10196,CUST-13058,"87
Gara_Road
Jodhpur-515044",Jodhpur,Rajasthan,515044.0,"Billing,_Shipping"
KL-10197,CUST-07220,"16/509,_Shere_Nagar
Kollam-234688",Kollam,Kerala,234688.0,Billing
MH-10198,CUST-19920,"H.No._99,_Boase_Ganj
Jalgaon-126322",Jalgaon,Maharashtra,126322.0,"Billing,_Shipping"
OR-10199,CUST-15024,"H.No._883,_Behl_Nagar
Chandrapur-199168",Chandrapur,Maharashtra,199168.0,"Billing,_Shipping"
HR-10200,CUST-11817,"190,_Rastogi_Circle
Aurangabad-261589",Aurangabad,Maharashtra,261589.0,Billing
MH-10201,CUST-09932,"54/235
Rattan
Rampur_374973",Rampur,Uttar_Pradesh,374973.0,Shipping
UP-10202,CUST-05101,"H.No._24,_Tella_Zila,_Shahjahanpur-330437",Shahjahanpur,Uttar_Pradesh,330437.0,Billing
CG-10203,CUST-11999,"51/979
Lall_Zila
Sambalpur-445282",Sambalpur,Odisha,445282.0,Shipping
HR-10204,CUST-02139,"H.No._68
Handa_Chowk
Aurangabad_720723",Aurangabad,Maharashtra,720723.0,Shipping
MH-10205,CUST-12464,"16/10,_Balan_Marg,_Rampur-488471",Rampur,Uttar_Pradesh,488471.0,Shipping
AS-10206,CUST-10067,"02,_Karnik_Path
Nagaon_175681",Nagaon,Assam,175681.0,"Billing,_Shipping"
UP-10207,CUST-04618,"H.No._045
Gole_Nagar
Raiganj-658004",Raiganj,West_Bengal,658004.0,"Billing,_Shipping"
