CustomerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,RegistrationDate,PreferredPaymentMethodID,third_party_data_sharing,marketing_communication,cookies_tracking,consent_timestamp
CUST-08958,Anaya,Soman,anaya.soman548@hotmail.com,917384588232.0,08-06-1985,25-07-2012,PM-003,Yes,Yes,No,02-06-2026 22:12
CUST-03478,Riya,Sahni,riya.462@icloud.com,917378103288.0,04-10-1996,30-03-2017,PM-001,No,No,No,02-06-2026 09:24
CUST-02947,Jivin,Jha,jivin.jha783@icloud.com,917631494663.0,05-01-1988,01-09-2020,PM-002,Yes,Yes,No,02-06-2026 22:21
CUST-04384,Miraan,Taneja,miraan_622@icloud.com,918267504067.0,01-10-2004,02-05-2024,PM-004,No,Yes,Yes,02-06-2026 12:39
CUST-11696,Neysa,Srinivasan,neysa.srinivasan224@outlook.com,919667446636.0,04-01-2002,07-03-2022,PM-004,Yes,No,No,02-06-2026 18:52
CUST-20000,Dishani,Mani,dishani.mani290@yahoo.com,919489717459.0,09-01-1996,30-01-2022,PM-002,Yes,Yes,Yes,02-06-2026 04:40
CUST-16636,Shaan,Ramaswamy,shaan.114@yahoo.com,917508672496.0,28-02-2001,27-05-2024,PM-004,Yes,Yes,Yes,02-06-2026 04:06
CUST-01067,Inaaya ,Agate,inaaya 980@outlook.com,917132189599.0,23-05-1983,06-05-2010,PM-004,Yes,No,Yes,02-06-2026 02:16
CUST-19359,Gokul,Bahl,gokul.bahl997@hotmail.com,919659785820.0,21-08-2005,21-09-2023,PM-002,Yes,No,Yes,02-06-2026 15:55
CUST-16917,Aarna,Andra,aarna.256@icloud.com,917494063239.0,10-04-2002,06-02-2023,PM-004,No,No,No,02-06-2026 15:41
CUST-12221,Heer,Swamy,swamyheer655@icloud.com,919505524829.0,01-03-1979,17-05-2008,PM-004,Yes,Yes,Yes,02-06-2026 02:22
CUST-11439,Aaina,Deol,aaina.deol867@outlook.com,918221776585.0,22-02-2005,14-06-2023,PM-002,No,Yes,No,02-06-2026 23:03
CUST-12518,Vihaan,Talwar,vihaan.791@gmail.com,919612551352.0,08-04-1984,24-07-2003,PM-002,No,No,Yes,02-06-2026 12:13
CUST-19187,Emir,Reddy,emir.557@hotmail.com,918498556757.0,05-12-1982,22-03-2024,PM-001,Yes,Yes,No,02-06-2026 14:35
CUST-06861,Divij,Rattan,divij390@outlook.com,919224726818.0,20-12-2005,23-04-2024,PM-002,No,No,Yes,02-06-2026 05:36
CUST-09913,Darshit,Sethi,sethidarshit385@outlook.com,918210140246.0,25-05-1982,14-05-2010,PM-003,Yes,Yes,Yes,02-06-2026 20:34
CUST-02119,Nehmat,Kata,nehmat160@hotmail.com,919168899052.0,01-02-1995,06-07-2015,PM-001,No,No,Yes,02-06-2026 07:18
CUST-04775,Sana,Gara,sana814@hotmail.com,919123932397.0,19-06-1998,15-03-2018,PM-001,No,No,Yes,02-06-2026 15:27
CUST-15498,Saira,Ramachandran,saira.ramachandran673@yahoo.com,918872605531.0,12-02-1981,17-03-2009,PM-003,Yes,Yes,Yes,02-06-2026 11:54
CUST-05671,Nitara,Kaur,nitara_472@icloud.com,918194372001.0,21-08-1985,06-03-2009,PM-001,Yes,No,Yes,02-06-2026 06:48
CUST-10104,Lagan,Hans,hanslagan165@yahoo.com,919275111387.0,17-04-2004,19-05-2022,PM-001,Yes,Yes,No,02-06-2026 15:34
CUST-07180,Gokul,Walla,gokul_984@gmail.com,917885112518.0,06-12-1996,14-02-2017,PM-001,No,No,No,02-06-2026 13:24
CUST-01555,Umang,Tara,umang.tara285@hotmail.com,917114517667.0,11-10-1995,21-11-2022,PM-004,No,No,Yes,02-06-2026 07:30
CUST-14190,Rania,Comar,comarrania299@yahoo.com,918781964229.0,27-03-1993,03-08-2014,PM-004,Yes,Yes,Yes,02-06-2026 16:35
CUST-07747,Jiya,Venkataraman,jiya_351@yahoo.com,918289988588.0,30-03-1980,16-02-2007,PM-001,Yes,Yes,No,02-06-2026 09:25
CUST-18684,Bhavin,Kapur,bhavin_103@icloud.com,917689663323.0,31-07-1996,20-04-2023,PM-003,Yes,Yes,Yes,02-06-2026 11:56
CUST-05082,Pihu,Karpe,pihu696@outlook.com,918068521539.0,26-12-1974,07-01-2008,PM-001,No,Yes,No,02-06-2026 11:52
CUST-00021,Damini,Saini,damini.517@outlook.com,917704161409.0,16-10-1984,09-04-2011,PM-004,Yes,No,No,02-06-2026 09:14
CUST-11874,Shalv,Dugal,shalv.dugal235@icloud.com,919136113281.0,10-11-2004,12-05-2023,PM-004,Yes,No,No,02-06-2026 00:01
CUST-15235,Alisha,Lad,alisha.303@icloud.com,919105332910.0,27-08-1996,25-02-2018,PM-003,Yes,Yes,Yes,02-06-2026 16:38
CUST-18524,Jivika,Balay,jivika_433@outlook.com,917868429516.0,04-12-2003,19-09-2022,PM-003,No,No,No,02-06-2026 16:49
CUST-19209,Dhanuk,Jain,dhanuk784@gmail.com,919996502736.0,13-05-2005,06-09-2023,PM-003,No,Yes,Yes,02-06-2026 18:48
CUST-14310,Nehmat,Date,nehmat_151@icloud.com,917298817548.0,04-05-1978,17-11-2001,PM-001,No,Yes,Yes,02-06-2026 18:48
