CustomerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,RegistrationDate,PreferredPaymentMethodID,third_party_data_sharing,marketing_communication,cookies_tracking,consent_timestamp
CUST-10320,Mishti,Baria,mishti.baria944@icloud.com,917510399021.0,24-06-1984,30-06-2011,PM-002,Yes,No,Yes,03-06-2026 19:27
CUST-16915,Sara,Borra,borrasara264@hotmail.com,918516227135.0,28-03-1975,10-05-1995,PM-004,Yes,Yes,Yes,03-06-2026 10:29
CUST-09336,Kiara,Bansal,kiara.bansal881@gmail.com,918676321689.0,04-11-1987,01-06-2024,PM-003,Yes,Yes,Yes,03-06-2026 21:41
CUST-01623,Zaina,Savant,zaina.savant938@gmail.com,918821969272.0,29-06-1994,20-07-2021,PM-002,No,No,Yes,03-06-2026 19:25
CUST-00212,Samarth,Sami,samarth354@icloud.com,917615788317.0,19-08-1985,21-12-2019,PM-003,Yes,Yes,No,03-06-2026 19:55
CUST-03847,Bhavin,Sampath,bhavin874@icloud.com,919025926207.0,13-05-1976,30-11-2017,PM-002,Yes,Yes,Yes,03-06-2026 03:28
CUST-01780,Azad,Tripathi,azad212@icloud.com,918807995341.0,18-06-1985,21-10-2011,PM-004,No,Yes,Yes,03-06-2026 10:02
CUST-19191,Jayan,Chad,jayan.175@hotmail.com,918840354017.0,25-07-1998,23-03-2017,PM-003,Yes,Yes,Yes,03-06-2026 01:28
CUST-09128,Hrishita,Suri,hrishita.suri915@yahoo.com,918567447140.0,10-03-1991,04-06-2013,PM-001,Yes,No,Yes,03-06-2026 01:11
CUST-16984,Badal,Ramachandran,ramachandranbadal752@yahoo.com,917265695780.0,13-12-1995,24-07-2018,PM-001,Yes,No,Yes,03-06-2026 14:00
CUST-18365,Mehul,Thakur,mehul610@icloud.com,917548581162.0,19-11-2005,21-04-2024,PM-003,No,Yes,No,03-06-2026 22:31
CUST-19998,Farhan,Bassi,farhan205@hotmail.com,918428978673.0,15-11-1977,03-01-2021,PM-004,No,Yes,Yes,03-06-2026 04:33
CUST-17619,Kavya,Bala,kavya.902@icloud.com,919225411707.0,25-06-1981,09-11-2000,PM-001,Yes,No,No,03-06-2026 21:00
CUST-16034,Navya,Gera,navya834@icloud.com,917783258602.0,27-01-2005,09-04-2024,PM-004,No,No,No,03-06-2026 14:17
CUST-00879,Kimaya,Chadha,kimaya.198@icloud.com,917684997404.0,25-02-2001,19-06-2019,PM-003,Yes,No,No,03-06-2026 21:24
CUST-04943,Abram,Thakur,abram464@yahoo.com,919357034537.0,09-12-1993,05-08-2014,PM-001,Yes,Yes,Yes,03-06-2026 22:46
CUST-07581,Nayantara,Rege,nayantara.217@hotmail.com,918450293560.0,05-12-1984,10-07-2006,PM-004,No,Yes,No,03-06-2026 04:41
CUST-04651,Prerak,Ben,prerak.823@outlook.com,918909986563.0,22-05-2003,13-04-2023,PM-003,Yes,Yes,No,03-06-2026 09:10
CUST-15605,Prerak,Sridhar,sridharprerak747@yahoo.com,919705823399.0,04-08-1991,13-02-2013,PM-002,No,Yes,No,03-06-2026 16:23
